은행,자릿수,계좌구조,패턴
(구)KB국민은행,12,XXX-XX-XXXX-XXX,\d{3}-\d{2}-\d{4}-\d{3}
(신)KB국민은행,14,XXXXXX-XX-XXXXXX,\d{6}-\d{2}-\d{6}
IBK기업은행,14,XXX-XXXXXX-XX-XXX,\d{3}-\d{6}-\d{2}-\d{3}
NH농협은행,13,XXX-XXXX-XXXX-XX,\d{3}-\d{4}-\d{4}-\d{2}
(구)신한은행,11,XXX-XX-XXXXXX,\d{3}-\d{2}-\d{6}
(신)신한은행,12,XXX-XXX-XXXXXX,\d{3}-\d{3}-\d{6}
우리은행,13,XXXX-XXX-XXXXXX,\d{4}-\d{3}-\d{6}
KEB하나은행,14,XXX-XXXXXX-XXXXX,\d{3}-\d{6}-\d{5}
(구)외환은행,12,XXX-XXXXXX-XXX,\d{3}-\d{6}-\d{3}
씨티은행,12,XXX-XXXXXX-XXX,\d{3}-\d{6}-\d{3}
DGB대구은행,12,XXX-XX-XXXXXX-X,\d{3}-\d{2}-\d{6}-\d{1}
BNK부산은행,13,XXX-XXXX-XXXX-XX,\d{3}-\d{4}-\d{4}-\d{2}
SC제일은행,11,XXX-XX-XXXXXX,\d{3}-\d{2}-\d{6}
케이뱅크,12,XXX-XXX-XXXXXX,\d{3}-\d{3}-\d{6}
카카오뱅크,13,XXXX-XX-XXXXXXX,\d{4}-\d{2}-\d{7}
(구)한국산업은행,11,XXX-XX-XXXXXX,\d{3}-\d{2}-\d{6}
(신)한국산업은행,14,XXX-XXXXXXX-X-XXX,\d{3}-\d{7}-\d{1}-\d{3}
중소기업은행,12,XXX-XX-XXXXXX-X,\d{3}-\d{2}-\d{6}-\d{1}
새마을금고,13,XXXX-XXXX-XXXX-X,\d{4}-\d{4}-\d{4}-\d{1}
